Insurance Validity,Fuel Type,Engine Displacement,Year of Manufacture,ft,bt,km,transmission,ownerNo,oem,model,Wheel Size,Color,No of Cylinder,Fuel Suppy System,Turbo Charger,Length,Width,Height,Wheel Base,Gear Box,Drive Type,Seating Capacity,Steering Type,Tyre Type,No Door Numbers,Cargo Volumn,Mileage,Value Configuration,Super Charger,Turning Radius,City,price_in_lakhs
Third Party insurance,Petrol,998 cc,2015.0,Petrol,Hatchback,120000.0,Manual,3,Maruti,Maruti Celerio,15.0,White,3.0,MPFi,No,3715.0,1635.0,1565.0,2425.0,5 Speed ,FWD,5.0,Power,"tubeless,radial",5.0,235.0,23.1,DOHC,No,4.7,Bangalore,4.0
Comprehensive,Petrol,1497 cc,2018.0,Petrol,SUV,32706.0,Manual,2,Ford,Ford Ecosport,16.0,White,3.0,Direct Injection,No,3998.0,1765.0,1647.0,2519.0,5 Speed,FWD,5.0,Power,"tubeless,radial",4.0,352.0,17.0,DOHC,No,5.3,Bangalore,8.11
Comprehensive,Petrol,1199 cc,2018.0,Petrol,Hatchback,11949.0,Manual,1,Tata,Tata Tiago,14.0,Red,3.0,MPFi,No,3746.0,1647.0,1535.0,2400.0,5 Speed,FWD,5.0,Power,tubeless,5.0,242.0,23.84,DOHC,No,4.9,Bangalore,5.85
Comprehensive,Petrol,1197 cc,2014.0,Petrol,Sedan,17794.0,Manual,1,Hyundai,Hyundai Xcent,14.0,Others,4.0,Direct Injection,No,3995.0,1660.0,1520.0,2425.0,5 Speed ,FWD,5.0,Power,"tubeless,radial",4.0,407.0,19.1,DOHC,No,4.7,Bangalore,4.62
Third Party insurance,Diesel,1248 cc,2015.0,Diesel,SUV,60000.0,Manual,1,Maruti,Maruti SX4 S Cross,16.0,Gray,4.0,Unknown,Yes,4300.0,1785.0,1595.0,2600.0,5 Speed,FWD,5.0,Power,"tubeless,radial",5.0,353.0,23.65,DOHC,No,5.2,Bangalore,7.9
Third Party insurance,Diesel,1956 cc,2020.0,Diesel,SUV,20000.0,Manual,1,Jeep,Jeep Compass,17.0,Others,4.0,CRDI,Yes,4395.0,1818.0,1640.0,2636.0,6 Speed,2WD,5.0,power,"radial,tubless",5.0,408.0,17.1,DOHC,No,9.17921373457304,Bangalore,19.0
Comprehensive,Petrol,1198 cc,2017.0,Petrol,Hatchback,37772.0,Manual,1,Datsun,Datsun GO,15.0,Grey,3.0,Electronic Injection System,No,3785.0,1635.0,1490.0,2450.0,5 Speed,FWD,5.0,Power,tubeless,5.0,265.0,20.63,DOHC,No,4.6,Bangalore,3.45
Third Party insurance,Petrol,998 cc,2021.0,Petrol,SUV,30000.0,Automatic,1,Hyundai,Hyundai Venue,16.0,Others,3.0,GDi,Yes,3995.0,1770.0,1605.0,2500.0,7-Speed,FWD,5.0,Power,radial,5.0,350.0,18.15,Unknown,Unknown,4.6241043595744244,Bangalore,12.0
Comprehensive,Petrol,1462 cc,2018.0,Petrol,Sedan,37000.0,Automatic,1,Maruti,Maruti Ciaz,16.0,Maroon,4.0,MPFI,No,4490.0,1730.0,1485.0,2650.0,4 Speed,FWD,5.0,Power,"tubeless,radial",4.0,510.0,20.28,DOHC,No,5.4,Bangalore,9.6
Comprehensive,Petrol,1199 cc,2017.0,Petrol,Hatchback,11949.0,Manual,1,Tata,Tata Tiago,15.0,Red,3.0,MPFi,No,3746.0,1647.0,1535.0,2400.0,5 Speed,FWD,5.0,Power,tubeless,5.0,242.0,23.84,DOHC,No,4.9,Bangalore,5.85
Third Party insurance,Petrol,1197 cc,2018.0,Petrol,Hatchback,50000.0,Manual,1,Maruti,Maruti Baleno,16.0,Red,4.0,MPFI,No,3995.0,1745.0,1510.0,2520.0,5 Speed,FWD,5.0,Power,"tubeless,radial",5.0,339.0,21.4,DOHC,No,4.9,Bangalore,6.9
Third Party insurance,Petrol,1197 cc,2019.0,Petrol,Hatchback,24887.0,Automatic,1,Hyundai,Hyundai Grand i10,14.0,Orange,4.0,MPFI,No,3765.0,1660.0,1520.0,2425.0,4 Speed,FWD,5.0,Power,tubeless,5.0,256.0,18.9,DOHC,No,4.8,Bangalore,6.82
Comprehensive,Petrol,1199 cc,2018.0,Petrol,Hatchback,23000.0,Automatic,1,Honda,Honda Jazz,15.0,Grey,4.0,PGM - Fi,No,3955.0,1694.0,1544.0,2530.0,5 Speed,FWD,5.0,Power,"tubeless,radial",5.0,354.0,18.2,SOHC,No,5.1,Bangalore,8.25
