Insurance Validity,Fuel Type,Engine Displacement,Year of Manufacture,ft,bt,transmission,ownerNo,oem,model,Wheel Size,Color,No of Cylinder,Fuel Suppy System,Turbo Charger,Length,Width,Height,Wheel Base,Gear Box,Drive Type,Seating Capacity,Steering Type,Tyre Type,No Door Numbers,Cargo Volumn,Mileage,Value Configuration,Super Charger,Turning Radius,City,price_in_lakhs,km_winsorized,price_in_lakhs_winzorized
Third Party insurance,Petrol,998 cc,2015.0,Petrol,Hatchback,Manual,3,Maruti,Maruti Celerio,15.0,White,3.0,MPFi,No,3715.0,1635.0,1565.0,2425.0,5 Speed ,FWD,5.0,Power,"tubeless,radial",5.0,235.0,23.1,DOHC,No,4.7,Bangalore,4.0,11.563955014694816,4.0
Comprehensive,Petrol,1497 cc,2018.0,Petrol,SUV,Manual,2,Ford,Ford Ecosport,16.0,White,3.0,Direct Injection,No,3998.0,1765.0,1647.0,2519.0,5 Speed,FWD,5.0,Power,"tubeless,radial",4.0,352.0,17.0,DOHC,No,5.3,Bangalore,8.11,10.395344401254501,8.11
Comprehensive,Petrol,1199 cc,2018.0,Petrol,Hatchback,Manual,1,Tata,Tata Tiago,14.0,Red,3.0,MPFi,No,3746.0,1647.0,1535.0,2400.0,5 Speed,FWD,5.0,Power,tubeless,5.0,242.0,23.84,DOHC,No,4.9,Bangalore,5.85,9.702973165917758,5.85
Comprehensive,Petrol,1197 cc,2014.0,Petrol,Sedan,Manual,1,Hyundai,Hyundai Xcent,14.0,Others,4.0,Direct Injection,No,3995.0,1660.0,1520.0,2425.0,5 Speed ,FWD,5.0,Power,"tubeless,radial",4.0,407.0,19.1,DOHC,No,4.7,Bangalore,4.62,9.786672797944293,4.62
Third Party insurance,Diesel,1248 cc,2015.0,Diesel,SUV,Manual,1,Maruti,Maruti SX4 S Cross,16.0,Gray,4.0,Unknown,Yes,4300.0,1785.0,1595.0,2600.0,5 Speed,FWD,5.0,Power,"tubeless,radial",5.0,353.0,23.65,DOHC,No,5.2,Bangalore,7.9,11.002116507732017,7.9
Third Party insurance,Diesel,1956 cc,2020.0,Diesel,SUV,Manual,1,Jeep,Jeep Compass,17.0,Others,4.0,CRDI,Yes,4395.0,1818.0,1640.0,2636.0,6 Speed,2WD,5.0,power,"radial,tubless",5.0,408.0,17.1,DOHC,No,9.17921373457304,Bangalore,19.0,9.90353755128617,18.40999999999999
Comprehensive,Petrol,1198 cc,2017.0,Petrol,Hatchback,Manual,1,Datsun,Datsun GO,15.0,Grey,3.0,Electronic Injection System,No,3785.0,1635.0,1490.0,2450.0,5 Speed,FWD,5.0,Power,tubeless,5.0,265.0,20.63,DOHC,No,4.6,Bangalore,3.45,10.53934984066981,3.45
Third Party insurance,Petrol,998 cc,2021.0,Petrol,SUV,Automatic,1,Hyundai,Hyundai Venue,16.0,Others,3.0,GDi,Yes,3995.0,1770.0,1605.0,2500.0,7-Speed,FWD,5.0,Power,radial,5.0,350.0,18.15,Unknown,Unknown,4.624104359574424,Bangalore,12.0,10.308985993422082,12.0
Comprehensive,Petrol,1462 cc,2018.0,Petrol,Sedan,Automatic,1,Maruti,Maruti Ciaz,16.0,Maroon,4.0,MPFI,No,4490.0,1730.0,1485.0,2650.0,4 Speed,FWD,5.0,Power,"tubeless,radial",4.0,510.0,20.28,DOHC,No,5.4,Bangalore,9.6,10.518700218288165,9.6
Comprehensive,Petrol,1199 cc,2017.0,Petrol,Hatchback,Manual,1,Tata,Tata Tiago,15.0,Red,3.0,MPFi,No,3746.0,1647.0,1535.0,2400.0,5 Speed,FWD,5.0,Power,tubeless,5.0,242.0,23.84,DOHC,No,4.9,Bangalore,5.85,9.702973165917758,5.85
Third Party insurance,Petrol,1197 cc,2018.0,Petrol,Hatchback,Manual,1,Maruti,Maruti Baleno,16.0,Red,4.0,MPFI,No,3995.0,1745.0,1510.0,2520.0,5 Speed,FWD,5.0,Power,"tubeless,radial",5.0,339.0,21.4,DOHC,No,4.9,Bangalore,6.9,10.819798284210286,6.9
Third Party insurance,Petrol,1197 cc,2019.0,Petrol,Hatchback,Automatic,1,Hyundai,Hyundai Grand i10,14.0,Orange,4.0,MPFI,No,3765.0,1660.0,1520.0,2425.0,4 Speed,FWD,5.0,Power,tubeless,5.0,256.0,18.9,DOHC,No,4.8,Bangalore,6.82,10.122141038577473,6.82
Comprehensive,Petrol,1199 cc,2018.0,Petrol,Hatchback,Automatic,1,Honda,Honda Jazz,15.0,Grey,4.0,PGM - Fi,No,3955.0,1694.0,1544.0,2530.0,5 Speed,FWD,5.0,Power,"tubeless,radial",5.0,354.0,18.2,SOHC,No,5.1,Bangalore,8.25,10.043292972227004,8.25
Comprehensive,Petrol,1199 cc,2018.0,Petrol,Hatchback,Automatic,1,Tata,Tata Tiago,14.0,Red,3.0,MPFi,No,3746.0,1647.0,1535.0,2400.0,5 Speed,FWD,5.0,Power,tubeless,5.0,242.0,23.84,DOHC,No,4.9,Bangalore,5.95,10.79812554671483,5.95
Comprehensive,Diesel,2179 cc,2014.0,Diesel,SUV,Manual,3,Mahindra,Mahindra XUV500,17.0,Silver,4.0,Direct Injection ,Yes,4585.0,1890.0,1785.0,2700.0,6 Speed ,FWD,7.0,Power,"tubeless,radial",5.0,478.1401946475437,15.1,DOHC,No,5.6,Bangalore,6.9,11.563955014694816,6.9
Third Party insurance,Diesel,1956 cc,2018.0,Diesel,SUV,Manual,1,Jeep,Jeep Compass,17.0,Others,4.0,CRDI,Yes,4395.0,1818.0,1640.0,2636.0,6 Speed,2WD,5.0,Power,"radial,tubless",5.0,408.0,17.1,DOHC,No,9.17921373457304,Bangalore,13.5,11.289794413577894,13.5
Comprehensive,Diesel,1950 cc,2022.0,Diesel,SUV,Automatic,1,Mercedes-Benz,Mercedes-Benz GLA,19.0,Blue,4.0,Unknown,Yes,4436.0,2020.0,1611.0,2729.0,8G-DCT,AWD,5.0,Power,"tubeless,radial",5.0,446.5982220889598,19.256888627353813,DOHC,Unknown,5.337537946736646,Bangalore,51.975,9.702973165917758,18.40999999999999
Comprehensive,Diesel,1396 cc,2014.0,Diesel,Hatchback,Manual,2,Hyundai,Hyundai i20,14.0,Blue,4.0,CRDI,No,3995.0,1710.0,1505.0,2525.0,6 Speed,FWD,5.0,Power,"tubeless,radial",5.0,340.10665818705604,21.27,DOHC,No,4.255793900204786,Bangalore,5.21,11.087925793633502,5.21
Third Party insurance,Petrol,1199 cc,2022.0,Petrol,SUV,Manual,1,Tata,Tata Nexon,17.0,Others,3.0,Unknown,No,3993.0,1811.0,1606.0,2498.0,6 Speed,FWD,5.0,Electric,"tubeless,radial",5.0,350.0,17.33,DOHC,Unknown,5.1,Bangalore,10.05,9.702973165917758,10.05
Comprehensive,Petrol,1497 cc,2016.0,Petrol,Sedan,Manual,2,Honda,Honda City,15.0,Brown,4.0,PGM-Fi,No,4440.0,1695.0,1495.0,2600.0,5 Speed,FWD,5.0,Power,"tubeless,radial",4.0,510.0,17.8,SOHC,No,5.3,Bangalore,7.75,11.112462823634855,7.75
Third Party insurance,Diesel,1995 cc,2011.0,Diesel,Sedan,Automatic,3,BMW,BMW 5 Series,17.0,White,4.0,CRDi,No,4841.0,1846.0,1468.0,2888.0,6 Speed,RWD,5.0,Power,"tubeless,radial",4.0,520.0,18.48,DOHC,Yes,11.526279476963303,Bangalore,22.0,11.51293546492023,18.40999999999999
Comprehensive,Petrol,1197 cc,2016.0,Petrol,Hatchback,Manual,1,Maruti,Maruti Swift,16.0,Silver,4.0,Unknown,Unknown,3845.0,1735.0,1530.0,2450.0,5-Speed,FWD,5.0,Electric,"radial,tubeless",5.0,268.0,22.38,DOHC,Unknown,4.8,Bangalore,5.82,9.802782848414497,5.82
Third Party insurance,Petrol,1498 cc,2020.0,Petrol,SUV,Manual,1,Renault,Renault Duster,17.0,Others,4.0,Multi Point Fuel Injection,No,4360.0,1822.0,1695.0,2673.0,5-Speed,FWD,5.0,Power,"tubeless, radial",5.0,475.0,16.42,DOHC,No,5.2,Bangalore,10.9,10.308985993422082,10.9
Comprehensive,Petrol,1199 cc,2016.0,Petrol,Hatchback,Manual,2,Tata,Tata Tiago,14.0,Silver,3.0,MPFi,No,3746.0,1647.0,1535.0,2400.0,5 Speed,FWD,5.0,Power,tubeless,5.0,242.0,23.84,DOHC,No,4.9,Bangalore,4.57,10.961885301035114,4.57
Third Party insurance,Petrol,4663 cc,2016.0,Petrol,Sedan,Automatic,2,Mercedes-Benz,Mercedes-Benz S-Class,19.0,Others,8.0,Direct Injection,Yes,5246.0,2130.0,1494.0,3165.0,7 Speed,RWD,5.0,Power,"tubeless,radial",4.0,530.0,7.81,DOHC,No,6.15,Bangalore,50.875,10.819798284210286,18.40999999999999
Third Party insurance,Petrol,1497 cc,2015.0,Petrol,Sedan,Manual,1,Honda,Honda City,15.0,Others,4.0,PGM-Fi,No,4440.0,1695.0,1495.0,2600.0,5 Speed ,FWD,5.0,Power,"tubeless,radial",4.0,510.0,17.4,SOHC,No,5.3,Bangalore,5.5,11.563955014694816,5.5
Comprehensive,Petrol,1086 cc,2018.0,Petrol,Hatchback,Automatic,1,Hyundai,Hyundai Santro,15.0,Yellow,4.0,MPFI,No,3610.0,1645.0,1560.0,2400.0,5 Speed,FWD,5.0,Power,"tubeless,radial",5.0,235.0,20.3,DOHC,No,1.590495501209034,Bangalore,5.7,10.062540482390729,5.7
Third Party insurance,LPG,1086 cc,2009.0,Lpg,Hatchback,Manual,2,Hyundai,Hyundai Santro Xing,13.0,Others,3.0,MPFI+LPG,No,3565.0,1525.0,1590.0,2380.0,5 Speed,FWD,5.0,Power,"tubeless,radial",5.0,223.99174995973567,13.45,SOHC,No,4.4,Bangalore,2.2,10.308985993422082,2.55
Comprehensive,Petrol,1991 cc,2017.0,Petrol,Sedan,Automatic,1,Mercedes-Benz,Mercedes-Benz E-Class,17.0,White,4.0,Direct Injection,Yes,5063.0,1860.0,1494.0,3079.0,9 Speed,RWD,5.0,Electric,"tubeless,radial",4.0,540.0,15.0,DOHC,No,6.0,Bangalore,40.17142857142857,10.404293143019792,18.40999999999999
Third Party insurance,Diesel,2179 cc,2014.0,Diesel,SUV,Manual,2,Mahindra,Mahindra XUV500,17.0,Black,4.0,Direct Injection ,Yes,4585.0,1890.0,1785.0,2700.0,6 Speed ,FWD,7.0,Power,"tubeless,radial",5.0,478.1401946475437,15.1,DOHC,No,5.6,Bangalore,8.61,11.38131223150161,8.61
Third Party insurance,Diesel,1968 cc,2016.0,Diesel,Sedan,Automatic,2,Audi,Audi A4,16.0,Others,4.0,CRDI,Yes,4701.0,2040.0,1427.0,2808.0,8 Speed,FWD,5.0,Power,"tubeless,radial",4.0,480.0,17.11,DOHC,No,5.8,Bangalore,17.85,10.596659732783579,17.85
Comprehensive,Diesel,2179 cc,2014.0,Diesel,SUV,Manual,2,Mahindra,Mahindra XUV500,17.0,Silver,4.0,Direct Injection,Yes,4585.0,1890.0,1785.0,2700.0,6 Speed,FWD,7.0,Power,"tubeless,radial",5.0,478.1401946475437,15.1,DOHC,No,5.6,Bangalore,8.03,11.277367674873172,8.03
Comprehensive,Diesel,1956 cc,2021.0,Diesel,SUV,Manual,1,Jeep,Jeep Compass,18.0,Black,4.0,Unknown,Yes,4405.0,1818.0,1640.0,2636.0,6 Speed,2WD,5.0,Power,"tubeless,radial",5.0,408.9099421219351,17.1,DOHC,Unknown,9.302919758839296,Bangalore,25.65,10.352810043708068,18.40999999999999
Third Party insurance,Petrol,1197 cc,2018.0,Petrol,Sedan,Manual,1,Hyundai,Hyundai Xcent,14.0,Others,4.0,MPFI,No,3995.0,1660.0,1520.0,2425.0,5 Speed,FWD,5.0,Power,tubeless,4.0,407.0,20.14,DOHC,No,4.7,Bangalore,6.74,10.819798284210286,6.74
Comprehensive,Petrol,998 cc,2015.0,Petrol,Hatchback,Manual,1,Maruti,Maruti Wagon R,14.0,Brown,3.0,Unknown,No,3599.0,1495.0,1700.0,2400.0,5 Speed,FWD,5.0,Power,tubeless,5.0,180.0,20.51,DOHC,No,4.6,Bangalore,3.49,9.702973165917758,3.49
Third Party insurance,Petrol,1462 cc,2019.0,Petrol,MUV,Manual,2,Maruti,Maruti Ertiga,16.0,Others,4.0,MPFI,No,4395.0,1735.0,1690.0,2740.0,5 Speed,2WD,7.0,Power,"tubeless,radial",5.0,209.0,19.34,DOHC,No,5.2,Bangalore,10.5,11.002116507732017,10.5
Comprehensive,Diesel,1950 cc,2019.0,Diesel,Sedan,Automatic,1,Mercedes-Benz,Mercedes-Benz C-Class,17.0,White,4.0,CRDi,Yes,4686.0,2020.0,1442.0,2840.0,9 Speed,RWD,5.0,Power,"tubeless,radial",4.0,480.0,12.6,DOHC,No,5.61,Bangalore,36.1875,9.702973165917758,18.40999999999999
Comprehensive,Petrol,998 cc,2015.0,Petrol,Hatchback,Manual,2,Maruti,Maruti Wagon R,14.0,White,3.0,Unknown,No,3599.0,1495.0,1700.0,2400.0,5 Speed,FWD,5.0,Power,tubeless,5.0,180.0,20.51,DOHC,No,4.6,Bangalore,4.06,10.621034619919609,4.06
Zero Dep,Petrol,1998 cc,2020.0,Petrol,Sedan,Automatic,1,BMW,BMW 5 Series,18.0,Blue,4.0,MPFi,Yes,4936.0,2126.0,1466.0,2975.0,8-Speed Steptronic,RWD,5.0,Power,"tubeless,runflat",4.0,520.0,15.56,DOHC,No,5.6,Bangalore,54.85,9.806866513931702,18.40999999999999
Third Party insurance,Diesel,2982 cc,2011.0,Diesel,SUV,Manual,3,Toyota,Toyota Fortuner,17.0,Others,4.0,Common-Rail type,Yes,4695.0,1840.0,1850.0,2750.0,5 Speed,4WD,7.0,Power,"tubeless,radial",5.0,502.6237898528441,11.5,DOHC,No,5.9,Bangalore,11.0,11.563955014694816,11.0
Third Party insurance,Diesel,1461 cc,2020.0,Diesel,SUV,Automatic,2,Renault,Renault Duster,16.0,Others,4.0,Common Rail Direct Injection (dCi),No,4360.0,1822.0,1695.0,2673.0,6-Speed,FWD,5.0,Power,radial,5.0,475.0,19.87,DOHC,No,5.2,Bangalore,11.0,10.596659732783579,11.0
Comprehensive,Petrol,1197 cc,2016.0,Petrol,Hatchback,Manual,1,Hyundai,Hyundai i20,16.0,White,4.0,MPFI,No,3985.0,1734.0,1505.0,2570.0,5 Speed,FWD,5.0,Power,tubeless,5.0,295.0,18.6,DOHC,No,5.2,Bangalore,5.94,11.403869239693787,5.94
Third Party insurance,Diesel,1396 cc,2017.0,Diesel,Hatchback,Manual,1,Hyundai,Hyundai i20,16.0,Others,4.0,CRDI,Yes,3985.0,1734.0,1505.0,2570.0,6 Speed,FWD,5.0,Power,tubeless,5.0,295.0,22.54,DOHC,No,5.2,Bangalore,7.1,11.563955014694816,7.1
Zero Dep,Petrol,1197 cc,2017.0,Petrol,Hatchback,Manual,1,Maruti,Maruti Baleno,16.0,Blue,4.0,MPFI,No,3995.0,1745.0,1510.0,2520.0,5 Speed,FWD,5.0,Power,"tubeless,radial",5.0,339.0,21.4,DOHC,No,4.9,Bangalore,6.92,10.9507714584818,6.92
Third Party insurance,Petrol,1797 cc,2013.0,Petrol,Sedan,Manual,1,Hyundai,Hyundai Elantra,16.0,Others,4.0,Multipoint Injection,No,4530.0,1775.0,1470.0,2700.0,6 Speed ,FWD,5.0,Power,"tubeless,radial",4.0,420.0,16.3,DOHC,No,5.3,Bangalore,6.5,11.563955014694816,6.5
Third Party insurance,Diesel,1968 cc,2015.0,Diesel,Sedan,Automatic,1,Audi,Audi A6,18.0,White,4.0,CRDI,Yes,4933.0,1874.0,1455.0,2912.0,7 Speed,FWD,5.0,Power,"tubeless,radial",4.0,530.0,18.53,DOHC,No,5.95,Bangalore,20.9,10.985309671896763,18.40999999999999
Zero Dep,Petrol,796 cc,2021.0,Petrol,Hatchback,Manual,1,Maruti,Maruti Alto 800,14.0,Silver,3.0,Unknown,Unknown,3445.0,1515.0,1475.0,2360.0,5 Speed,FWD,5.0,Power,tubeless,5.0,194.2967032843453,22.05,DOHC,Unknown,4.6,Bangalore,4.11,9.843525211363445,4.11
Third Party insurance,Diesel,2179 cc,2010.0,Diesel,SUV,Manual,2,Mahindra,Mahindra Scorpio,16.0,Gray,4.0,CRDI,Yes,4430.0,1817.0,1975.0,2680.0,5 Speed,2WD,7.0,Power,"tubeless,radial",5.0,432.55074658090825,12.05,DOHC,No,5.6,Bangalore,6.5,11.563955014694816,6.5
Comprehensive,Petrol,1998 cc,2016.0,Petrol,Hatchback,Automatic,1,Mini,Mini 3 DOOR,16.0,White,4.0,MPFi,Yes,3850.0,1727.0,1414.0,2495.0,7 Speed,2WD,4.0,electric,runflat,3.0,211.0,17.33,Unknown,No,5.4,Bangalore,36.75,10.596659732783579,18.40999999999999
Comprehensive,Petrol,1199 cc,2019.0,Petrol,Hatchback,Manual,1,Tata,Tata Tiago,15.0,Red,3.0,MPFi,No,3746.0,1647.0,1535.0,2400.0,5 Speed,FWD,5.0,Power,tubeless,5.0,242.0,23.84,DOHC,No,4.9,Bangalore,6.1,11.017530178859595,6.1
Comprehensive,Petrol,1353 cc,2020.0,Petrol,SUV,Automatic,2,Kia,Kia Seltos,17.0,White,4.0,GDi,Yes,4315.0,1800.0,1645.0,2610.0,7-Speed DCT,FWD,5.0,Electric,"tubeless,radial",5.0,433.0,16.5,DOHC,Unknown,8.614012373969004,Bangalore,16.75,10.4204940353772,16.75
Comprehensive,Petrol,1199 cc,2018.0,Petrol,Hatchback,Manual,2,Tata,Tata Tiago,15.0,Brown,3.0,MPFi,No,3746.0,1647.0,1535.0,2400.0,5 Speed,FWD,5.0,Power,tubeless,5.0,242.0,23.84,DOHC,No,4.9,Bangalore,5.3,11.110027060059378,5.3
Third Party insurance,Diesel,2925 cc,2022.0,Diesel,Sedan,Automatic,1,Mercedes-Benz,Mercedes-Benz E-Class,18.0,White,6.0,Direct Injection,Yes,5075.0,2065.0,1495.0,3079.0,9-Speed,RWD,5.0,Electric,unknown,4.0,579.3190701098051,19.256888627353813,DOHC,Unknown,10.599341898296316,Bangalore,29.375,9.702973165917758,18.40999999999999
Third Party insurance,Petrol,796 cc,2008.0,Petrol,Hatchback,Manual,2,Maruti,Maruti Alto,12.0,Others,3.0,MPFI,No,3495.0,1475.0,1460.0,2360.0,5 Speed,FWD,5.0,Power,"tubeless,radial",5.0,207.3824148307126,19.7,SOHC,No,4.6,Bangalore,2.5,11.002116507732017,2.55
Third Party insurance,Petrol,1197 cc,2019.0,Petrol,Hatchback,Manual,1,Hyundai,Hyundai i20,16.0,Grey,4.0,MPFI,No,3985.0,1734.0,1505.0,2570.0,5 Speed,FWD,5.0,Power,"tubeless,radial",5.0,285.0,18.6,DOHC,No,5.2,Bangalore,7.15,10.698423878998108,7.15
Third Party insurance,Diesel,2987 cc,2014.0,Diesel,SUV,Automatic,2,Mercedes-Benz,Mercedes-Benz GL-Class,19.0,Others,6.0,CRDI,Yes,5120.0,2141.0,1850.0,3075.0,7 Speed,AWD,7.0,Power,"tubeless,radial",5.0,680.0,11.3,DOHC,No,6.2,Bangalore,31.45,11.51293546492023,18.40999999999999
Comprehensive,Diesel,1956 cc,2021.0,Diesel,SUV,Automatic,1,Tata,Tata New Safari,18.0,White,4.0,Unknown,Yes,4661.0,1894.0,1786.0,2741.0,6-Speed,FWD,6.0,Power,"tubeless,radial",5.0,73.0,14.08,DOHC,Unknown,13.231811212757492,Bangalore,22.5,10.12667110305036,18.40999999999999
Comprehensive,Petrol,1197 cc,2018.0,Petrol,Hatchback,Manual,1,Hyundai,Hyundai Grand i10,14.0,Blue,4.0,MPFI,No,3765.0,1660.0,1520.0,2425.0,5 Speed,FWD,5.0,Power,tubeless,5.0,256.0,18.9,DOHC,No,4.8,Bangalore,6.25,10.511512479679238,6.25
Comprehensive,Diesel,2967 cc,2015.0,Diesel,SUV,Automatic,1,Audi,Audi Q7,18.0,White,6.0,CRDI,Yes,5089.0,2177.0,1737.0,3002.0,8 Speed Tiptronic,AWD,7.0,Power,"tubeless,radial",5.0,330.0,12.07,DOHC,No,6.0,Bangalore,26.95,11.277215789596893,18.40999999999999
Third Party insurance,Diesel,2179 cc,2010.0,Diesel,SUV,Manual,2,Mahindra,Mahindra Scorpio,16.0,Gray,4.0,CRDi,Yes,4430.0,1817.0,1975.0,2680.0,5 Speed,FWD,8.0,Power,"tubeless,radial",5.0,432.55074658090825,12.05,DOHC,No,5.6,Bangalore,6.5,11.563955014694816,6.5
Third Party insurance,Petrol,999 cc,2022.0,Petrol,Hatchback,Automatic,1,Renault,Renault KWID,14.0,Others,3.0,MPFi,No,3731.0,1579.0,1474.0,2422.0,5 Speed,FWD,5.0,Electric,"tubeless,radial",5.0,279.0,22.0,DOHC,No,4.9,Bangalore,5.5,9.702973165917758,5.5
Comprehensive,Diesel,1497 cc,2018.0,Diesel,SUV,Manual,1,Tata,Tata Nexon,17.0,White,4.0,CDI,Yes,3994.0,1811.0,1607.0,2498.0,6 Speed,FWD,5.0,Power,"tubeless, radial",5.0,350.0,21.5,DOHC,No,5.1,Bangalore,8.25,10.890162187963373,8.25
Third Party insurance,Petrol,1341 cc,2006.0,Petrol,Hatchback,Manual,2,Hyundai,Hyundai Getz,13.0,Others,4.0,PFI,No,3810.0,1665.0,1515.0,2455.0,5 Speed,Unknown,5.0,Power,"tubeless,radial",5.0,286.33821799960367,15.3,DOHC,No,5.0,Bangalore,2.2,11.51293546492023,2.55
Comprehensive,Petrol,998 cc,2014.0,Petrol,Hatchback,Automatic,1,Maruti,Maruti Celerio,15.0,Others,3.0,Unknown,Unknown,3695.0,1655.0,1555.0,2435.0,5-Speed,FWD,5.0,Electric,"tubeless,radial",5.0,313.0,26.68,DOHC,Unknown,2.37222846844432,Bangalore,4.28,10.89642446116701,4.28
Third Party insurance,Diesel,1498 cc,2014.0,Diesel,Sedan,Manual,1,Skoda,Skoda Rapid,15.0,Black,4.0,Direct Injection,Yes,4386.0,1699.0,1466.0,2552.0,5 Speed,FWD,5.0,Power,"tubeless,radial",4.0,460.0,21.14,DOHC,No,5.3,Bangalore,6.95,11.563955014694816,6.95
Third Party insurance,Petrol,1496 cc,2019.0,Petrol,SUV,Manual,2,Ford,Ford Ecosport,16.0,White,3.0,Direct Injection,No,3998.0,1765.0,1647.0,2519.0,5 Speed,FWD,5.0,Electric,"tubeless,radial",4.0,352.0,15.9,DOHC,No,5.3,Bangalore,9.3,10.53852881168904,9.3
Comprehensive,Petrol,796 cc,2021.0,Petrol,Hatchback,Manual,1,Maruti,Maruti Alto 800,14.0,Silver,3.0,Unknown,Unknown,3445.0,1515.0,1475.0,2360.0,5 Speed,FWD,5.0,Power,tubeless,5.0,194.2967032843453,22.05,DOHC,Unknown,4.6,Bangalore,4.55,9.762384711558127,4.55
Comprehensive,Diesel,1582 cc,2017.0,Diesel,SUV,Manual,1,Hyundai,Hyundai Creta,16.0,Grey,4.0,CRDi,Yes,4270.0,1780.0,1630.0,2590.0,6 Speed,FWD,5.0,Power,tubeless,5.0,400.0,19.67,DOHC,No,5.3,Bangalore,11.95,11.451060699493427,11.95
Comprehensive,Diesel,1956 cc,2021.0,Diesel,SUV,Automatic,1,Tata,Tata Harrier,17.0,Grey,4.0,Unknown,Yes,4598.0,1894.0,1706.0,2741.0,6-Speed,FWD,5.0,Power,"tubeless,radial",5.0,425.0,14.6,DOHC,Unknown,11.229743325395638,Bangalore,21.75,10.425282789490705,18.40999999999999
Comprehensive,Petrol,1197 cc,2014.0,Petrol,Hatchback,Manual,3,Maruti,Maruti Swift,16.0,White,4.0,Unknown,Unknown,3845.0,1735.0,1530.0,2450.0,5-Speed,FWD,5.0,Electric,"radial,tubeless",5.0,268.0,22.38,DOHC,Unknown,4.8,Bangalore,4.42,10.907825791098762,4.42
Third Party insurance,Diesel,1248 cc,2018.0,Diesel,Hatchback,Manual,1,Maruti,Maruti Swift,16.0,Others,4.0,CRDi,Yes,3840.0,1735.0,1530.0,2450.0,5,FWD,5.0,Power,tubeless,5.0,268.0,28.4,DOHC,No,4.8,Bangalore,6.9,11.563955014694816,6.9
Third Party insurance,Petrol,998 cc,2017.0,Petrol,Hatchback,Manual,2,Maruti,Maruti Celerio,14.0,Red,3.0,MPFi,No,3715.0,1635.0,1565.0,2425.0,5 Speed ,FWD,5.0,Power,"tubeless,radial",5.0,235.0,23.1,DOHC,No,4.7,Bangalore,5.0,11.06665398721974,5.0
Comprehensive,Diesel,1995 cc,2016.0,Diesel,Sedan,Automatic,1,BMW,BMW 3 Series GT,18.0,White,4.0,CRDi,Yes,4824.0,1828.0,1508.0,2920.0,8 Speed,RWD,5.0,Power,runflat,4.0,520.0,21.76,DOHC,No,5.5,Bangalore,22.7375,10.609699022425275,18.40999999999999
Third Party insurance,Diesel,1248 cc,2015.0,Diesel,Sedan,Manual,1,Maruti,Maruti Ciaz,16.0,White,4.0,CRDI,Yes,4490.0,1730.0,1485.0,2650.0,5 Speed,FWD,5.0,Power,"tubeless,radial",4.0,510.0,26.21,DOHC,No,5.4,Bangalore,6.5,11.51293546492023,6.5
Comprehensive,Petrol,1199 cc,2016.0,Petrol,Hatchback,Automatic,2,Honda,Honda Jazz,15.0,White,4.0,PGM - Fi,No,3955.0,1694.0,1544.0,2530.0,5 Speed,FWD,5.0,Power,"tubeless,radial",5.0,354.0,19.0,SOHC,No,5.1,Bangalore,5.37,10.695461449902902,5.37
Third Party insurance,Diesel,1461 cc,2016.0,Diesel,MUV,Manual,1,Renault,Renault Lodgy,15.0,White,4.0,CRDi,Yes,4498.0,1751.0,1697.0,2810.0,6 Speed,FWD,7.0,Power,tubeless,5.0,207.0,19.98,DOHC,No,5.55,Bangalore,7.5,11.156264806643742,7.5
Comprehensive,Petrol,1798 cc,2018.0,Petrol,Sedan,Automatic,1,Skoda,Skoda Octavia,16.0,White,4.0,Direct Injection,Yes,4670.0,1814.0,1476.0,2688.0,7 Speed,FWD,5.0,Power,"tubeless,radial",4.0,590.0,15.1,DOHC,No,5.2,Bangalore,17.9,11.277215789596893,17.9
Third Party insurance,Petrol,1199 cc,2017.0,Petrol,Hatchback,Manual,2,Tata,Tata Tiago,15.0,Orange,3.0,MPFi,No,3746.0,1647.0,1535.0,2400.0,5 Speed,FWD,5.0,Power,tubeless,5.0,242.0,23.84,DOHC,No,4.9,Bangalore,4.68,11.127851046509798,4.68
Third Party insurance,Petrol,1197 cc,2014.0,Petrol,Hatchback,Manual,2,Maruti,Maruti Ritz,15.0,Silver,4.0,MPFI,No,3775.0,1680.0,1620.0,2360.0,5 Speed,FWD,5.0,Power,"tubeless,radial",5.0,236.0,18.5,DOHC,No,4.7,Bangalore,4.2,11.002116507732017,4.2
Third Party insurance,Petrol,1197 cc,2014.0,Petrol,Hatchback,Manual,2,Maruti,Maruti Ritz,15.0,Silver,4.0,MPFI,No,3775.0,1680.0,1620.0,2360.0,5 Speed,FWD,5.0,Power,"tubeless,radial",5.0,236.0,18.5,DOHC,No,4.7,Bangalore,4.2,11.002116507732017,4.2
Third Party insurance,Petrol,998 cc,2021.0,Petrol,Hatchback,Manual,1,Hyundai,Hyundai i20,16.0,Others,3.0,Unknown,Yes,3995.0,1775.0,1505.0,2580.0,6 Speed IMT,FWD,5.0,Electric,"tubeless,radial",5.0,311.0,20.0,DOHC,Unknown,2.9990303199075825,Bangalore,9.2,9.702973165917758,9.2
Third Party insurance,Petrol,1497 cc,2013.0,Petrol,Sedan,Manual,1,Honda,Honda City,15.0,Yellow,4.0,EFI(Electronic Fuel Injection),No,4440.0,1695.0,1485.0,2550.0,5 Speed,FWD,5.0,Power,"tubeless,radial",4.0,506.0,16.8,SOHC,No,5.3,Bangalore,5.33,10.817255103865845,5.33
