Insurance Validity,Fuel Type,Engine Displacement,Year of Manufacture,ft,bt,transmission,ownerNo,oem,model,Wheel Size,Color,No of Cylinder,Fuel Suppy System,Turbo Charger,Length,Width,Height,Wheel Base,Gear Box,Drive Type,Seating Capacity,Steering Type,Tyre Type,No Door Numbers,Cargo Volumn,Mileage,Value Configuration,Super Charger,Turning Radius,City,price_in_lakhs,km_winsorized,price_in_lakhs_winzorized
Comprehensive,Diesel,1999 cc,2018.0,Diesel,SUV,Automatic,1,Jaguar,Jaguar F-Pace,18.0,White,4.0,CRDi,Yes,4731.0,2175.0,1652.0,2874.0,8 Speed,FWD,5.0,Power,"tubeless,radial",5.0,650.0,16.38,DOHC,No,6.0,Chennai,44.25,10.859018228147887,18.40999999999999
Comprehensive,Petrol,1199 cc,2015.0,Petrol,Hatchback,Manual,1,Honda,Honda Jazz,15.0,Brown,4.0,PGM - Fi,No,3955.0,1694.0,1544.0,2530.0,5 Speed,FWD,5.0,Power,"tubeless,radial",5.0,354.0,18.7,SOHC,No,5.1,Chennai,5.17,10.790967202556164,5.17
Third Party insurance,Petrol,1197 cc,2016.0,Petrol,Sedan,Manual,2,Hyundai,Hyundai Xcent,15.0,Red,4.0,Direct Injection,No,3995.0,1660.0,1520.0,2425.0,5 Speed ,FWD,5.0,Power,tubeless,4.0,407.0,19.1,DOHC,No,4.7,Chennai,4.49,10.994286059636607,4.49
Comprehensive,Petrol,1497 cc,2014.0,Petrol,Sedan,Manual,2,Honda,Honda City,15.0,TITANIUM GREY,4.0,EFI(Electronic Fuel Injection),No,4420.0,1695.0,1480.0,2550.0,5 Speed,FWD,5.0,Power,"tubeless,radial",4.0,506.0,17.0,SOHC,No,5.3,Chennai,4.55,11.563955014694816,4.55
Third Party insurance,Petrol,1390 cc,2014.0,Petrol,Sedan,Manual,1,Volkswagen,Volkswagen Jetta,16.0,White,4.0,MPFI,Yes,4659.0,1778.0,1453.0,2648.0,6 Speed,FWD,5.0,Power,"tubeless,radial",4.0,510.0,14.69,DOHC,No,5.5,Chennai,6.43,11.563955014694816,6.43
Comprehensive,Diesel,1493 cc,2018.0,Diesel,SUV,Manual,2,Mahindra,Mahindra TUV 300,15.0,Silver,3.0,CRDi,Yes,3995.0,1835.0,1826.0,2680.0,5 Speed,RWD,7.0,Power,"tubeless, radial",5.0,384.0,18.49,Unknown,No,5.35,Chennai,7.05,11.563955014694816,7.05
Third Party insurance,Diesel,1497 cc,2021.0,Diesel,Hatchback,Manual,1,Tata,Tata Altroz,16.0,Blue,4.0,Unknown,Yes,3990.0,1755.0,1523.0,2501.0,5-Speed,Unknown,5.0,Electric,"tubeless,radial",5.0,345.0,23.64,Unknown,Unknown,5.0,Chennai,8.89,10.612261988981773,8.89
Third Party insurance,Diesel,1248 cc,2016.0,Diesel,Sedan,Automatic,2,Maruti,Maruti Swift Dzire,15.0,Red,4.0,CRDI,Yes,3995.0,1695.0,1555.0,2430.0,5 Speed,FWD,5.0,Power,"tubeless,radial",4.0,320.0,26.59,DOHC,No,4.8,Chennai,6.21,11.20288871150165,6.21
Comprehensive,Diesel,1995 cc,2011.0,Diesel,Sedan,Automatic,2,BMW,BMW 3 Series,16.0,Black,4.0,CRDi,Yes,4824.0,1811.0,1429.0,2810.0,8 Speed,RWD,5.0,Power,"tubeless,radial",4.0,480.0,22.69,DOHC,No,5.5,Chennai,14.0,10.571368205848186,14.0
Comprehensive,Petrol,1497 cc,2014.0,Petrol,Sedan,Manual,1,Honda,Honda City,16.0,Silver,4.0,PGM-Fi,No,4440.0,1695.0,1495.0,2600.0,5 Speed,FWD,5.0,Power,"tubeless,radial",4.0,510.0,17.4,SOHC,No,5.3,Chennai,6.3,11.308763125251302,6.3
